#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   137.28 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,    -1.000000E+00,    -3.241946E-04,    -7.509172E-06,     1.203704E-05,     8.774165E-06,     5.616750E-06,     3.755973E-06,     2.685297E-06,     2.033892E-06,     1.606918E-06,     1.306386E-06,
  5.000000E-01,    -1.000000E+00,    -2.160980E-03,     3.623143E-04,     3.319344E-04,     2.084388E-04,     1.323507E-04,     8.916379E-05,     6.366785E-05,     4.764657E-05,     3.693776E-05,     2.938622E-05,
  1.000000E+00,    -1.000000E+00,    -5.498534E-03,     6.393597E-04,     6.339916E-04,     4.018348E-04,     2.560821E-04,     1.728811E-04,     1.236045E-04,     9.257040E-05,     7.179377E-05,     5.712697E-05,
  1.500000E+00,    -1.000000E+00,    -1.129572E-02,     7.445391E-04,     9.021187E-04,     5.832093E-04,     3.740210E-04,     2.533225E-04,     1.815069E-04,     1.361498E-04,     1.057199E-04,     8.420148E-05,
  2.000000E+00,    -1.000000E+00,    -2.064247E-02,     6.008935E-04,     1.121247E-03,     7.471984E-04,     4.835467E-04,     3.289867E-04,     2.364329E-04,     1.777570E-04,     1.382789E-04,     1.102946E-04,
  2.500000E+00,    -1.000000E+00,    -3.484109E-02,     1.315306E-04,     1.277577E-03,     8.889590E-04,     5.822667E-04,     3.984843E-04,     2.875015E-04,     2.168001E-04,     1.690561E-04,     1.351059E-04,
  3.000000E+00,    -1.000000E+00,    -5.545236E-02,    -7.444154E-04,     1.358652E-03,     1.004272E-03,     6.680687E-04,     4.605646E-04,     3.339067E-04,     2.527312E-04,     1.976642E-04,     1.583532E-04,
  3.500000E+00,    -1.000000E+00,    -8.426122E-02,    -2.117883E-03,     1.353208E-03,     1.089608E-03,     7.391620E-04,     5.141380E-04,     3.749308E-04,     2.850545E-04,     2.237483E-04,     1.797753E-04,
  4.000000E+00,    -1.000000E+00,    -1.231125E-01,    -4.098096E-03,     1.250804E-03,     1.142150E-03,     7.941076E-04,     5.582947E-04,     4.099550E-04,     3.133324E-04,     2.469901E-04,     1.991350E-04,
  4.500000E+00,    -1.000000E+00,    -1.735690E-01,    -6.822934E-03,     1.041203E-03,     1.159769E-03,     8.318342E-04,     5.923180E-04,     4.384687E-04,     3.371919E-04,     2.671119E-04,     2.162219E-04,
  5.000000E+00,    -1.000000E+00,    -2.363819E-01,    -1.047150E-02,     7.135073E-04,     1.140954E-03,     8.516398E-04,     6.156917E-04,     4.600751E-04,     3.563288E-04,     2.838796E-04,     2.308543E-04,
  5.500000E+00,    -1.000000E+00,    -3.108649E-01,    -1.527886E-02,     2.550444E-04,     1.084696E-03,     8.531801E-04,     6.281023E-04,     4.744955E-04,     3.705105E-04,     2.971049E-04,     2.428812E-04,
  6.000000E+00,    -1.000000E+00,    -3.944284E-01,    -2.155280E-02,    -3.500203E-04,     9.903323E-04,     8.364423E-04,     6.294354E-04,     4.815693E-04,     3.795782E-04,     3.066472E-04,     2.521835E-04,
  6.500000E+00,    -1.000000E+00,    -4.826396E-01,    -2.969202E-02,    -1.122362E-03,     8.573400E-04,     8.017079E-04,     6.197666E-04,     4.812527E-04,     3.834463E-04,     3.124139E-04,     2.586747E-04,
  7.000000E+00,    -1.000000E+00,    -5.700279E-01,    -4.020429E-02,    -2.089515E-03,     6.851022E-04,     7.495029E-04,     5.993478E-04,     4.736143E-04,     3.821017E-04,     3.143606E-04,     2.623013E-04,
  7.500000E+00,    -1.000000E+00,    -6.514058E-01,    -5.372199E-02,    -3.288293E-03,     4.726279E-04,     6.805402E-04,     5.685889E-04,     4.588281E-04,     3.756011E-04,     3.124899E-04,     2.630422E-04,
  8.000000E+00,    -1.000000E+00,    -7.230629E-01,    -7.100974E-02,    -4.767709E-03,     2.182343E-04,     5.956525E-04,     5.280360E-04,     4.371649E-04,     3.640671E-04,     3.068497E-04,     2.609086E-04,
  8.500000E+00,    -1.000000E+00,    -7.832752E-01,    -9.295581E-02,    -6.592498E-03,    -8.081512E-05,     4.957192E-04,     4.783471E-04,     4.089820E-04,     3.476833E-04,     2.975313E-04,     2.559421E-04,
  9.000000E+00,    -1.000000E+00,    -8.320719E-01,    -1.205349E-01,    -8.847407E-03,    -4.287246E-04,     3.815872E-04,     4.202651E-04,     3.747112E-04,     3.266886E-04,     2.846654E-04,     2.482135E-04,
  9.500000E+00,    -1.000000E+00,    -8.706096E-01,    -1.547258E-01,    -1.164240E-02,    -8.316441E-04,     2.539871E-04,     3.545892E-04,     3.348460E-04,     3.013706E-04,     2.684198E-04,     2.378210E-04,
  1.000000E+01,    -1.000000E+00,    -9.005391E-01,    -1.963691E-01,    -1.511895E-02,    -1.298228E-03,     1.134431E-04,     2.821464E-04,     2.899282E-04,     2.720583E-04,     2.489942E-04,     2.248873E-04,
  1.050000E+01,    -1.000000E+00,    -9.235605E-01,    -2.459576E-01,    -1.945764E-02,    -1.840298E-03,    -3.982173E-05,     2.037611E-04,     2.405336E-04,     2.391148E-04,     2.266168E-04,     2.095575E-04,
  1.100000E+01,    -1.000000E+00,    -9.411885E-01,    -3.033819E-01,    -2.488705E-02,    -2.473639E-03,    -2.059884E-04,     1.202265E-04,     1.872583E-04,     2.029292E-04,     2.015392E-04,     1.919962E-04,
  1.150000E+01,    -1.000000E+00,    -9.546705E-01,    -3.676947E-01,    -3.169403E-02,    -3.218970E-03,    -3.857538E-04,     3.227453E-05,     1.307049E-04,     1.639093E-04,     1.740317E-04,     1.723844E-04,
  1.200000E+01,    -1.000000E+00,    -9.649892E-01,    -4.370023E-01,    -4.023483E-02,    -4.103129E-03,    -5.804566E-04,    -5.945239E-05,     7.146958E-05,     1.224732E-04,     1.443788E-04,     1.509166E-04,
  1.250000E+01,    -1.000000E+00,    -9.729013E-01,    -5.085936E-01,    -5.094633E-02,    -5.160549E-03,    -7.922195E-04,    -1.544306E-04,     1.012888E-05,     7.904232E-05,     1.128740E-04,     1.277976E-04,
  1.300000E+01,    -1.000000E+00,    -9.789830E-01,    -5.793413E-01,    -6.435539E-02,    -6.435075E-03,    -1.024116E-03,    -2.522837E-04,    -5.277161E-05,     3.403425E-05,     7.981579E-05,     1.032395E-04,
  1.350000E+01,    -1.000000E+00,    -9.836718E-01,    -6.462661E-01,    -8.108303E-02,    -7.982237E-03,    -1.280367E-03,    -3.528125E-04,    -1.167284E-04,    -1.214399E-05,     4.550249E-05,     7.745855E-05,
