#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   137.28 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     2.883541E-17,     8.769525E-17,    -2.337516E-17,     8.850746E-16,    -6.852524E-17,     2.099421E-16,    -1.508257E-16,     4.191429E-16,     5.626937E-16,    -1.753164E-16,    -4.333260E-16,
  5.000000E-01,     2.883541E-17,    -1.115961E-15,    -5.806787E-16,     2.460818E-16,    -4.227691E-17,     7.791064E-16,     5.945660E-16,     4.538096E-16,    -1.151293E-15,     5.428331E-16,    -4.251337E-16,
  1.000000E+00,     2.883541E-17,     6.404309E-17,    -2.110249E-15,     7.391791E-16,    -1.175546E-15,    -3.638501E-16,    -4.595361E-16,     3.113389E-16,    -1.119961E-16,    -4.085295E-16,    -4.927176E-16,
  1.500000E+00,     2.883541E-17,    -1.639821E-18,     3.618378E-17,     6.161170E-16,     2.505742E-16,     6.006906E-16,     6.410055E-17,    -5.783594E-16,     1.776141E-16,     5.136735E-16,    -3.461915E-16,
  2.000000E+00,     2.883541E-17,     9.199754E-16,    -1.239798E-17,    -2.027562E-16,    -2.890050E-16,    -1.928367E-16,    -4.844259E-17,    -8.451227E-17,    -4.318469E-16,    -7.365342E-16,     3.637476E-16,
  2.500000E+00,     2.883541E-17,     3.039561E-16,    -4.561045E-16,    -2.717231E-16,    -1.730919E-16,     9.188766E-16,    -5.194445E-16,     3.909350E-16,    -4.311854E-17,    -3.838138E-17,     3.810513E-16,
  3.000000E+00,     2.883541E-17,     1.842530E-16,    -4.822489E-16,    -1.430812E-16,    -4.404791E-16,     2.160704E-16,     1.220532E-15,    -2.541187E-16,     6.503738E-17,     1.251828E-16,    -3.639150E-16,
  3.500000E+00,     2.883541E-17,    -1.451187E-16,     5.814190E-17,     3.039902E-16,    -4.137251E-16,    -7.642913E-16,    -2.020766E-16,    -1.180601E-15,     6.706734E-17,     1.333186E-16,    -4.743285E-16,
  4.000000E+00,     2.883541E-17,    -2.128733E-16,    -7.538021E-16,    -4.318117E-17,     2.672053E-16,    -1.196089E-16,     6.562559E-17,    -3.732942E-16,    -2.788562E-16,    -2.530583E-16,     4.357489E-16,
  4.500000E+00,     2.883541E-17,    -1.673307E-16,    -1.143894E-16,     4.851711E-16,    -2.533075E-16,     7.559481E-16,    -7.867239E-16,     7.258021E-16,    -1.285755E-16,     7.865951E-16,     5.289478E-16,
